,Mean_of_Stdev,Stdev_of_Stdev,3rd_Stdev_of_Stdev,Final_Cutoff
AHR,1.9380425636325906,0.23687272082502014,0.7106181624750605,2.648660726107651
AHSA1,1.0127093997509136,0.14147948095150537,0.4244384428545161,1.4371478426054296
AHSA2P,0.8846975936366802,0.20505128243247925,0.6151538472974377,1.499851440934118
AHSG,0.7223517456530706,0.1060486046222574,0.3181458138667722,1.0404975595198427
AHSP,1.4547243331094568,0.306319359498498,0.9189580784954939,2.3736824116049506
AIF1,0.5331392812081764,0.1341706685173235,0.40251200555197053,0.935651286760147
AIF1L,2.5509487018864334,0.2319601967405275,0.6958805902215826,3.246829292108016
AIFM3,2.315368430446458,0.13785937409795648,0.4135781222938695,2.7289465527403274
AIMP1,0.6569644286271349,0.19629331786621038,0.5888799535986311,1.245844382225766
AIMP2,1.3014497021703628,0.16554228969235957,0.4966268690770787,1.7980765712474416
AIP,0.90533491366143,0.1739349077958421,0.5218047233875263,1.4271396370489562
AIRE,1.97157554925682,0.29686122253525415,0.8905836676057625,2.8621592168625827
AJAP1,0.7409966502909621,0.1358203739739392,0.4074611219218176,1.1484577722127796
AK4,1.016835591664969,0.14261797505264515,0.4278539251579354,1.4446895168229044
AK5,1.088800203853417,0.15929935738927634,0.477898072167829,1.566698276021246
AK7,0.9391316244709538,0.11872498180399585,0.3561749454119876,1.2953065698829413
AKAP1,0.8627485641118493,0.18026321922396016,0.5407896576718805,1.4035382217837298
AKAP11,0.5884912438764821,0.23686291292607808,0.7105887387782343,1.2990799826547164
AKAP12,0.8424837240338254,0.24226377710720465,0.7267913313216139,1.5692750553554393
AKAP13,0.9469718656167095,0.15703596412018667,0.47110789236056,1.4180797579772695
AKAP5,0.8581637541799485,0.23991666300194298,0.719749989005829,1.5779137431857775
AKAP6,0.7339269732229299,0.13692891703186622,0.41078675109559865,1.1447137243185286
AKAP7,0.9253038894204522,0.2710937082967104,0.8132811248901313,1.7385850143105834
AKAP8L,1.2764846595633612,0.20120052845399233,0.6036015853619769,1.8800862449253382
AKAP9,0.9528782957295472,0.1954164088152587,0.5862492264457762,1.5391275221753233
AKIP1,0.876000099976254,0.19480967593831588,0.5844290278149477,1.4604291277912016
AKIRIN1,0.7960786872220826,0.1445640126380717,0.43369203791421507,1.2297707251362977
AKR1A1,0.5232126971808411,0.178490839746019,0.535472519238057,1.058685216418898
AKR1B10,1.2753134910827537,0.1520709651386075,0.45621289541582244,1.7315263864985762
AKR1B15,1.008424342997536,0.09099315613760146,0.2729794684128044,1.2814038114103403
AKR1C4,0.7850809661116083,0.1899981500565804,0.5699944501697413,1.3550754162813496
AKR1E2,0.8668354862763962,0.18224510054859328,0.5467353016457799,1.413570787922176
AKR7A2P1,0.6679070584280676,0.09370904918827269,0.28112714756481805,0.9490342059928857
AKT1,0.700452896053779,0.08678217766805219,0.26034653300415656,0.9607994290579356
AKT3,0.5953466919673773,0.12636128512418915,0.37908385537256745,0.9744305473399448
ALAS1,1.8092195082129634,0.148131786553592,0.444395359660776,2.2536148678737393
ALB,0.523732851516397,0.2276248938322045,0.6828746814966135,1.2066075330130106
ALCAM,0.9168462760835739,0.2043719157142969,0.6131157471428906,1.5299620232264646
ALDH16A1,0.5767056878980387,0.10720723652517221,0.3216217095755166,0.8983273974735553
ALDH1A3,0.8088489834341163,0.13798669281062528,0.4139600784318759,1.2228090618659921
ALDH1B1,0.6511142839216805,0.19894982538381084,0.5968494761514325,1.2479637600731128
ALDH1L1-AS2,0.821793768994965,0.18120773448184882,0.5436232034455465,1.3654169724405114
ALDH2,1.1306610343320351,0.17496139800599544,0.5248841940179864,1.6555452283500216
ALDH3A2,0.9890486077911116,0.18025793057797504,0.5407737917339251,1.5298223995250368
ALDH3B1,0.661038176979522,0.0817681145807855,0.24530434374235652,0.9063425207218786
ALDH5A1,1.1464454587360482,0.2316720862005738,0.6950162586017214,1.8414617173377696
ALDOA,1.6249968743295953,0.14143473891531114,0.42430421674593344,2.0493010910755287
ALDOC,2.3847188120986416,0.19039268115138896,0.5711780434541669,2.9558968555528082
ALG1,2.202807173798238,0.14864555596247475,0.44593666788742425,2.648743841685662
ALG10,0.5313894482738077,0.1498435305006931,0.4495305915020793,0.980920039775887
